Date,Machine,Power Rating,Working Hours,Temp,Humidity,Production Output,Maintenance,Energy Consumed
2023-01-07,Steam Boiler,41.54,2.45,20.18,67.71,0.0,0,101.58
2023-01-08,Spinning Machine,17.36,0.08,24.74,69.89,4.26,0,1.45
2023-01-08,Weaving Machine,14.07,0.6,24.74,49.52,39.95,0,8.43
2023-01-08,Dyeing Machine,29.45,2.17,32.59,59.74,50.74,0,63.81
2023-01-08,Cutting Machine,7.12,3.16,32.24,33.67,254.58,0,22.48
2023-01-08,Sewing Machine,8.94,2.99,25.03,64.31,139.59,0,26.73
2023-01-08,HVAC System,26.23,8.28,21.08,41.73,0.0,0,217.07
2023-01-08,Air Compressor,14.23,3.78,31.04,62.38,0.0,1,64.48
2023-01-08,Lighting System,4.38,6.01,20.26,56.06,0.0,0,26.32
2023-01-08,Water Pump,5.28,7.33,31.35,41.27,0.0,0,38.74
2023-01-08,Steam Boiler,43.09,3.02,23.96,62.87,0.0,0,130.24
2023-01-09,Spinning Machine,20.71,10.77,22.83,65.11,620.3,0,223.1
2023-01-09,Weaving Machine,13.88,9.55,31.27,56.91,237.04,0,132.47
2023-01-09,Dyeing Machine,22.33,9.32,23.31,58.01,83.08,0,208.03
2023-01-09,Cutting Machine,12.1,9.68,28.66,51.77,555.57,0,117.12
2023-01-09,Sewing Machine,3.68,9.08,26.15,37.78,285.95,0,33.41
2023-01-09,HVAC System,33.55,9.19,25.97,48.85,0.0,0,308.35
2023-01-09,Air Compressor,11.17,7.17,22.6,42.74,0.0,1,96.16
2023-01-09,Lighting System,4.75,10.88,29.55,53.87,0.0,0,51.68
2023-01-09,Water Pump,6.88,6.47,22.28,40.76,0.0,0,44.47
2023-01-09,Steam Boiler,36.31,11.79,20.04,66.86,0.0,0,428.1
2023-01-10,Spinning Machine,15.16,10.17,29.54,50.02,808.43,0,154.13
2023-01-10,Weaving Machine,13.3,8.03,23.25,40.04,123.06,1,128.08
2023-01-10,Dyeing Machine,22.61,10.39,25.16,64.29,833.03,0,234.92
2023-01-10,Cutting Machine,6.77,11.83,25.26,64.76,599.56,0,80.16
2023-01-10,Sewing Machine,7.0,11.59,26.22,30.8,689.6,0,81.13
2023-01-10,HVAC System,25.73,8.13,22.44,32.59,0.0,0,209.28
2023-01-10,Air Compressor,21.13,6.37,25.76,69.56,0.0,0,134.53
2023-01-10,Lighting System,4.18,11.15,27.0,59.62,0.0,0,46.62
2023-01-10,Water Pump,5.25,6.72,29.97,47.27,0.0,0,35.26
2023-01-10,Steam Boiler,35.26,9.87,23.96,57.88,0.0,0,348.04
2023-01-11,Spinning Machine,16.87,9.97,32.71,51.82,616.2,0,168.15
2023-01-11,Weaving Machine,18.61,8.76,34.79,53.41,91.24,0,162.98
2023-01-11,Dyeing Machine,21.84,9.13,31.27,52.12,602.91,0,199.49
2023-01-11,Cutting Machine,7.07,10.13,29.42,54.16,427.88,0,71.63
2023-01-11,Sewing Machine,6.76,9.0,20.56,61.77,485.41,0,60.87
2023-01-11,HVAC System,33.55,9.08,25.59,39.64,0.0,0,304.48
2023-01-11,Air Compressor,12.17,6.18,31.92,32.02,0.0,0,75.14
2023-01-11,Lighting System,4.51,13.89,33.75,55.83,0.0,0,62.7
2023-01-11,Water Pump,4.72,7.36,33.93,44.15,0.0,0,34.75
2023-01-11,Steam Boiler,35.84,10.99,28.26,63.42,0.0,0,394.01
2023-01-12,Spinning Machine,16.1,11.96,26.23,46.32,440.66,0,192.61
2023-01-12,Weaving Machine,12.04,11.88,21.57,49.26,957.35,0,143.04
2023-01-12,Dyeing Machine,22.69,9.14,22.34,60.1,577.98,0,207.34
2023-01-12,Cutting Machine,11.93,11.96,22.09,65.26,195.39,0,142.72
2023-01-12,Sewing Machine,9.9,9.3,30.54,63.16,346.56,0,92.09
2023-01-12,HVAC System,33.56,9.87,28.22,67.35,0.0,0,331.1
2023-01-12,Air Compressor,10.19,6.31,23.22,49.43,0.0,0,64.3
2023-01-12,Lighting System,4.62,10.86,31.37,51.11,0.0,0,50.18
2023-01-12,Water Pump,7.48,5.4,23.84,56.08,0.0,0,40.4
2023-01-12,Steam Boiler,39.48,8.55,25.92,50.1,0.0,0,337.52
2023-01-13,Spinning Machine,15.35,10.31,23.43,55.02,719.31,0,158.3
2023-01-13,Weaving Machine,18.94,9.86,31.36,56.75,167.55,0,186.68
2023-01-13,Dyeing Machine,20.37,9.37,33.88,64.47,568.57,0,190.91
2023-01-13,Cutting Machine,5.85,10.12,33.52,38.33,591.77,0,59.22
2023-01-13,Sewing Machine,8.12,11.12,27.4,37.82,223.28,0,90.27
2023-01-13,HVAC System,29.75,9.29,26.29,57.15,0.0,0,276.28
2023-01-13,Air Compressor,19.29,6.58,33.6,66.59,0.0,0,126.85
2023-01-13,Lighting System,3.42,13.8,22.8,53.74,0.0,0,47.15
2023-01-13,Water Pump,9.1,6.69,21.23,36.65,0.0,0,60.91
2023-01-13,Steam Boiler,42.01,10.84,22.44,41.08,0.0,0,455.17
2023-01-14,Spinning Machine,23.52,1.75,31.4,38.3,27.04,1,49.5
2023-01-14,Weaving Machine,14.54,1.66,22.38,57.27,17.34,0,24.21
2023-01-14,Dyeing Machine,26.81,0.48,23.7,34.29,29.22,0,12.85
2023-01-14,Cutting Machine,6.0,0.28,32.95,56.1,4.41,0,1.71
2023-01-14,Sewing Machine,3.35,2.25,23.17,49.08,96.34,0,7.53
2023-01-14,HVAC System,33.87,9.47,26.91,47.14,0.0,0,320.88
2023-01-14,Air Compressor,10.31,2.94,22.18,37.44,0.0,0,30.32
2023-01-14,Lighting System,3.33,4.06,31.14,48.04,0.0,0,13.54
2023-01-14,Water Pump,7.9,7.06,30.27,43.31,0.0,0,55.8
2023-01-14,Steam Boiler,33.32,3.73,33.59,66.56,0.0,0,124.16
2023-01-15,Spinning Machine,20.35,0.16,22.87,34.32,4.6,0,3.29
2023-01-15,Weaving Machine,15.02,3.4,31.69,55.1,80.22,0,51.08
2023-01-15,Dyeing Machine,27.32,3.52,33.09,55.69,220.59,1,115.57
2023-01-15,Cutting Machine,11.8,0.94,24.72,57.03,27.59,0,11.1
2023-01-15,Sewing Machine,5.66,3.37,20.25,48.6,191.8,0,19.1
2023-01-15,HVAC System,33.68,8.53,20.24,41.49,0.0,0,287.21
2023-01-15,Air Compressor,12.87,2.74,23.35,52.44,0.0,0,35.21
2023-01-15,Lighting System,4.02,5.77,32.61,46.17,0.0,0,23.22
2023-01-15,Water Pump,3.63,8.12,30.41,30.21,0.0,0,29.46
2023-01-15,Steam Boiler,37.51,3.13,21.84,38.71,0.0,0,117.45
2023-01-16,Spinning Machine,17.59,8.37,31.87,30.34,457.76,0,147.3
2023-01-16,Weaving Machine,13.52,11.28,28.0,33.49,281.07,0,152.57
2023-01-16,Dyeing Machine,22.64,11.96,22.35,45.89,897.15,0,270.85
2023-01-16,Cutting Machine,10.6,8.22,28.42,36.44,625.83,0,87.11
2023-01-16,Sewing Machine,7.47,8.11,32.95,58.84,550.25,0,60.59
2023-01-16,HVAC System,28.85,10.36,29.87,50.57,0.0,0,298.97
2023-01-16,Air Compressor,16.08,8.96,29.25,62.67,0.0,0,144.15
2023-01-16,Lighting System,5.43,13.61,20.42,46.76,0.0,0,73.89
2023-01-16,Water Pump,5.92,6.19,33.06,57.64,0.0,0,36.65
2023-01-16,Steam Boiler,39.44,8.28,26.17,38.28,0.0,0,326.5
2023-01-17,Spinning Machine,24.16,8.3,26.49,56.51,649.3,0,200.44
2023-01-17,Weaving Machine,18.02,9.45,29.18,48.33,623.92,0,170.3
2023-01-17,Dyeing Machine,24.25,11.68,28.75,61.0,200.57,0,283.27
2023-01-17,Cutting Machine,5.24,8.87,24.47,33.87,165.53,1,55.76
2023-01-17,Sewing Machine,9.11,9.6,24.33,42.49,343.93,0,87.47
2023-01-17,HVAC System,34.09,11.38,33.27,31.04,0.0,0,387.98
2023-01-17,Air Compressor,19.58,9.17,24.23,69.48,0.0,0,179.59
2023-01-17,Lighting System,5.73,12.97,21.19,38.53,0.0,0,74.26
2023-01-17,Water Pump,8.78,5.88,33.32,61.91,0.0,0,51.61
2023-01-17,Steam Boiler,41.56,11.94,23.23,53.41,0.0,0,496.09
2023-01-18,Spinning Machine,17.02,10.36,27.84,32.06,784.28,0,176.38
2023-01-18,Weaving Machine,15.37,10.25,33.21,67.08,361.4,1,189.04
2023-01-18,Dyeing Machine,24.13,9.62,32.99,43.73,795.15,0,232.09
2023-01-18,Cutting Machine,8.43,11.13,25.05,54.71,568.59,0,93.8
2023-01-18,Sewing Machine,4.66,8.59,29.68,35.33,404.3,1,47.99
2023-01-18,HVAC System,30.1,8.5,20.34,38.01,0.0,0,255.76
2023-01-18,Air Compressor,9.89,9.2,23.38,40.51,0.0,1,109.15
2023-01-18,Lighting System,4.75,10.5,29.21,42.58,0.0,0,49.92
2023-01-18,Water Pump,4.27,6.81,26.47,41.65,0.0,1,34.89
2023-01-18,Steam Boiler,39.76,9.37,29.94,58.1,0.0,0,372.37
2023-01-19,Spinning Machine,18.5,9.02,25.01,46.52,333.77,1,200.25
2023-01-19,Weaving Machine,16.23,11.8,27.79,49.65,461.05,0,191.44
2023-01-19,Dyeing Machine,27.16,11.49,29.9,45.41,623.25,0,312.05
2023-01-19,Cutting Machine,7.96,8.77,21.98,34.14,461.14,0,69.82
2023-01-19,Sewing Machine,7.0,10.75,27.53,51.01,241.83,0,75.24
2023-01-19,HVAC System,32.21,8.52,20.26,54.86,0.0,0,274.52
2023-01-19,Air Compressor,17.3,8.5,20.73,65.81,0.0,0,147.13
2023-01-19,Lighting System,6.63,12.54,29.84,38.21,0.0,0,83.15
2023-01-19,Water Pump,8.01,5.42,22.8,54.46,0.0,0,43.43
2023-01-19,Steam Boiler,42.99,11.85,20.28,49.24,0.0,1,611.3
2023-01-20,Spinning Machine,17.06,8.94,22.96,46.85,554.27,0,152.51
2023-01-20,Weaving Machine,18.12,9.29,30.74,65.72,460.59,0,168.35
2023-01-20,Dyeing Machine,22.95,10.17,25.55,62.87,833.58,0,233.26
2023-01-20,Cutting Machine,14.54,9.78,21.69,48.07,656.4,0,142.28
2023-01-20,Sewing Machine,4.48,8.66,31.96,47.69,85.13,0,38.75
2023-01-20,HVAC System,25.69,8.67,24.24,62.4,0.0,0,222.79
2023-01-20,Air Compressor,11.18,8.85,21.22,47.82,0.0,0,98.96
2023-01-20,Lighting System,4.49,12.73,27.25,61.43,0.0,0,57.16
2023-01-20,Water Pump,6.2,5.8,22.52,49.35,0.0,0,36.01
2023-01-20,Steam Boiler,42.08,11.18,23.2,67.92,0.0,0,470.45
2023-01-21,Spinning Machine,23.41,2.12,29.16,32.05,174.48,0,49.71
2023-01-21,Weaving Machine,18.36,0.12,34.54,40.36,3.05,0,2.29
2023-01-21,Dyeing Machine,28.76,1.98,25.46,53.37,81.98,0,56.82
2023-01-21,Cutting Machine,8.88,3.95,26.04,52.7,154.11,0,35.07
2023-01-21,Sewing Machine,8.18,1.23,34.56,66.58,96.73,0,10.03
2023-01-21,HVAC System,31.7,10.93,31.77,64.66,0.0,0,346.47
2023-01-21,Air Compressor,10.85,2.78,30.01,36.76,0.0,0,30.19
2023-01-21,Lighting System,5.64,4.98,26.55,34.28,0.0,0,28.12
2023-01-21,Water Pump,9.47,5.37,26.55,59.84,0.0,0,50.84
2023-01-21,Steam Boiler,37.7,3.15,28.52,44.68,0.0,0,118.83
2023-01-22,Spinning Machine,21.25,0.12,20.81,42.52,4.76,0,2.5
2023-01-22,Weaving Machine,17.7,0.16,25.89,48.69,8.74,1,3.33
2023-01-22,Dyeing Machine,27.22,3.94,21.6,42.58,77.51,0,107.28
2023-01-22,Cutting Machine,14.84,3.26,29.19,54.04,264.78,0,48.38
2023-01-22,Sewing Machine,9.06,2.03,33.4,43.94,92.74,0,18.39
2023-01-22,HVAC System,26.44,8.13,21.57,31.35,0.0,0,214.95
2023-01-22,Air Compressor,14.71,3.2,33.26,35.07,0.0,0,47.05
2023-01-22,Lighting System,4.79,7.81,31.01,43.26,0.0,0,37.46
2023-01-22,Water Pump,8.23,7.26,22.26,30.77,0.0,0,59.8
2023-01-22,Steam Boiler,32.58,4.67,29.05,51.66,0.0,0,152.31
2023-01-23,Spinning Machine,18.46,10.28,25.4,31.54,497.86,0,189.77
2023-01-23,Weaving Machine,18.49,8.55,31.96,51.98,191.63,0,158.08
2023-01-23,Dyeing Machine,27.91,8.64,27.6,40.65,123.18,0,241.27
2023-01-23,Cutting Machine,6.45,9.37,34.71,59.65,661.37,0,60.48
2023-01-23,Sewing Machine,3.94,10.59,21.81,48.65,635.29,0,41.76
2023-01-23,HVAC System,29.61,10.02,28.74,62.38,0.0,0,296.73
2023-01-23,Air Compressor,15.39,8.73,32.98,56.92,0.0,1,161.27
2023-01-23,Lighting System,5.25,13.06,28.51,67.16,0.0,0,68.57
2023-01-23,Water Pump,11.75,5.67,32.78,63.86,0.0,1,79.91
2023-01-23,Steam Boiler,35.51,8.88,32.09,62.73,0.0,0,315.27
2023-01-24,Spinning Machine,17.73,11.35,34.74,49.06,104.01,0,201.18
2023-01-24,Weaving Machine,11.77,11.77,31.63,55.74,776.14,0,138.62
2023-01-24,Dyeing Machine,27.4,9.34,33.24,43.22,284.96,0,255.96
2023-01-24,Cutting Machine,7.31,11.16,33.54,48.79,825.91,0,81.56
2023-01-24,Sewing Machine,3.87,8.1,20.96,67.31,512.3,0,31.33
2023-01-24,HVAC System,32.31,8.38,23.26,54.26,0.0,0,270.71
2023-01-24,Air Compressor,12.53,7.79,27.9,58.81,0.0,0,97.6
2023-01-24,Lighting System,5.72,10.58,23.12,32.33,0.0,1,72.71
2023-01-24,Water Pump,8.19,7.12,25.84,37.09,0.0,0,58.3
2023-01-24,Steam Boiler,40.57,10.3,25.46,65.55,0.0,0,418.0
2023-01-25,Spinning Machine,20.27,11.57,29.31,46.59,253.58,0,234.58
2023-01-25,Weaving Machine,13.64,9.54,24.28,41.6,635.53,0,130.24
2023-01-25,Dyeing Machine,22.17,9.68,20.77,41.51,245.31,0,214.67
2023-01-25,Cutting Machine,11.03,9.94,25.85,45.72,244.43,0,109.67
2023-01-25,Sewing Machine,7.0,9.19,24.4,43.69,510.61,0,64.34
2023-01-25,HVAC System,31.29,8.78,24.6,38.62,0.0,0,274.72
2023-01-25,Air Compressor,13.14,9.88,28.55,51.35,0.0,1,155.81
2023-01-25,Lighting System,3.79,11.46,33.54,51.15,0.0,0,43.46
2023-01-25,Water Pump,9.62,6.06,22.18,45.76,0.0,0,58.29
2023-01-25,Steam Boiler,32.79,9.51,34.24,39.23,0.0,0,311.72
2023-01-26,Spinning Machine,18.67,10.37,22.1,59.97,270.37,0,193.49
2023-01-26,Weaving Machine,14.53,9.51,27.66,41.61,566.57,0,138.17
2023-01-26,Dyeing Machine,20.92,8.4,21.49,35.27,312.92,0,175.73
2023-01-26,Cutting Machine,7.74,11.2,23.15,30.24,666.15,0,86.63
2023-01-26,Sewing Machine,9.65,8.6,32.53,65.67,674.08,0,82.94
2023-01-26,HVAC System,36.33,11.84,34.78,51.32,0.0,0,429.97
2023-01-26,Air Compressor,15.47,6.95,21.18,43.25,0.0,0,107.6
2023-01-26,Lighting System,4.05,12.67,34.41,36.59,0.0,1,61.54
2023-01-26,Water Pump,12.56,4.33,23.19,68.6,0.0,0,54.41
2023-01-26,Steam Boiler,37.97,10.42,26.68,37.89,0.0,0,395.52
2023-01-27,Spinning Machine,20.67,11.56,31.41,61.64,597.09,0,238.89
2023-01-27,Weaving Machine,16.36,10.86,29.2,63.54,893.89,0,177.62
2023-01-27,Dyeing Machine,28.72,11.22,22.42,51.91,561.08,0,322.26
2023-01-27,Cutting Machine,9.85,10.72,22.56,40.91,140.2,1,126.68
2023-01-27,Sewing Machine,7.73,8.32,27.1,57.25,553.59,0,64.39
2023-01-27,HVAC System,32.23,10.67,30.91,49.34,0.0,0,344.06
2023-01-27,Air Compressor,13.81,9.58,24.36,46.69,0.0,0,132.22
2023-01-27,Lighting System,5.3,11.43,32.76,58.18,0.0,0,60.57
2023-01-27,Water Pump,11.09,5.6,32.37,64.27,0.0,0,62.03
2023-01-27,Steam Boiler,39.93,9.0,30.27,55.92,0.0,0,359.47
2023-01-28,Spinning Machine,23.0,2.87,24.11,33.24,188.58,0,66.04
2023-01-28,Weaving Machine,10.65,0.48,33.46,66.01,16.28,0,5.15
2023-01-28,Dyeing Machine,21.38,0.13,20.63,39.87,5.05,0,2.83
2023-01-28,Cutting Machine,14.31,0.3,28.48,34.9,9.82,0,4.25
2023-01-28,Sewing Machine,8.9,0.45,34.71,52.37,22.88,0,3.97
2023-01-28,HVAC System,36.37,10.14,29.12,47.23,0.0,0,368.58
2023-01-28,Air Compressor,14.31,3.39,33.26,45.33,0.0,0,48.56
2023-01-28,Lighting System,4.13,6.41,27.02,64.52,0.0,0,26.47
2023-01-28,Water Pump,5.24,6.63,31.46,50.2,0.0,0,34.74
2023-01-28,Steam Boiler,36.34,3.87,29.57,45.91,0.0,0,140.49
2023-01-29,Spinning Machine,16.78,2.8,34.43,50.2,37.77,0,46.96
2023-01-29,Weaving Machine,12.89,1.97,21.44,57.68,120.31,0,25.38
2023-01-29,Dyeing Machine,28.47,2.82,25.98,34.2,99.03,0,80.17
2023-01-29,Cutting Machine,10.26,3.27,22.54,30.9,90.44,0,33.54
2023-01-29,Sewing Machine,5.93,3.0,23.57,39.04,222.12,0,17.79
2023-01-29,HVAC System,28.43,8.37,20.78,68.32,0.0,0,237.88
2023-01-29,Air Compressor,13.94,2.73,26.54,43.66,0.0,0,38.04
2023-01-29,Lighting System,6.42,4.22,23.37,52.7,0.0,0,27.1
2023-01-29,Water Pump,10.0,6.03,20.7,44.3,0.0,0,60.25
2023-01-29,Steam Boiler,34.47,2.68,28.95,30.18,0.0,0,92.48
2023-01-30,Spinning Machine,20.78,9.05,25.95,30.99,75.39,1,225.63
2023-01-30,Weaving Machine,10.94,10.39,34.98,44.39,829.76,0,113.69
2023-01-30,Dyeing Machine,22.68,10.68,34.44,65.78,355.92,0,242.15
2023-01-30,Cutting Machine,6.93,8.49,33.22,49.23,528.71,0,58.88
2023-01-30,Sewing Machine,4.31,11.59,28.36,65.14,419.35,0,49.97
2023-01-30,HVAC System,30.02,10.67,30.91,46.82,0.0,0,320.39
2023-01-30,Air Compressor,16.76,9.07,20.16,69.47,0.0,0,151.96
2023-01-30,Lighting System,7.0,13.23,34.77,37.18,0.0,0,92.6
2023-01-30,Water Pump,8.8,5.71,27.59,56.85,0.0,0,50.26
2023-01-30,Steam Boiler,35.62,8.29,34.27,34.51,0.0,0,295.24
2023-01-31,Spinning Machine,17.82,8.02,32.34,39.63,600.45,0,142.99
2023-01-31,Weaving Machine,14.04,8.6,28.13,64.91,174.93,0,120.81
2023-01-31,Dyeing Machine,26.22,11.61,33.17,43.31,452.84,1,365.35
2023-01-31,Cutting Machine,7.14,8.7,25.11,33.89,578.05,0,62.15
2023-01-31,Sewing Machine,6.82,9.27,22.04,38.64,174.58,0,63.26
2023-01-31,HVAC System,35.34,10.0,28.67,42.19,0.0,0,353.39
2023-01-31,Air Compressor,17.4,8.14,20.94,65.26,0.0,0,141.69
2023-01-31,Lighting System,3.37,11.93,23.57,37.18,0.0,0,40.15
2023-01-31,Water Pump,7.63,4.53,21.12,63.49,0.0,0,34.6
2023-01-31,Steam Boiler,38.37,10.82,31.29,44.4,0.0,0,415.09
2023-02-01,Spinning Machine,19.82,11.03,21.72,56.47,538.59,0,218.57
2023-02-01,Weaving Machine,18.19,9.85,28.11,62.92,97.7,0,179.17
2023-02-01,Dyeing Machine,24.15,9.89,27.49,49.52,105.5,0,238.87
2023-02-01,Cutting Machine,8.81,11.7,24.96,67.25,638.65,0,103.08
2023-02-01,Sewing Machine,8.1,9.7,27.26,45.22,190.75,0,78.52
2023-02-01,HVAC System,35.72,9.75,27.85,59.06,0.0,0,348.4
2023-02-01,Air Compressor,16.32,6.66,30.44,48.89,0.0,0,108.69
2023-02-01,Lighting System,6.38,12.95,23.99,42.59,0.0,0,82.53
2023-02-01,Water Pump,6.61,7.7,26.49,30.63,0.0,0,50.91
2023-02-01,Steam Boiler,37.72,9.97,31.99,49.68,0.0,0,375.95
2023-02-02,Spinning Machine,15.42,8.21,26.29,69.72,380.56,0,126.62
2023-02-02,Weaving Machine,13.21,11.58,22.41,53.23,145.77,0,152.98
2023-02-02,Dyeing Machine,29.61,8.74,34.52,62.88,416.08,0,258.92
2023-02-02,Cutting Machine,8.89,11.35,22.44,37.22,182.62,0,100.92
2023-02-02,Sewing Machine,6.46,8.44,24.39,60.0,258.9,0,54.5
2023-02-02,HVAC System,33.98,11.52,33.74,33.66,0.0,0,391.54
2023-02-02,Air Compressor,11.43,8.31,30.09,53.5,0.0,1,114.01
2023-02-02,Lighting System,5.34,10.02,31.78,39.35,0.0,0,53.44
2023-02-02,Water Pump,5.78,5.58,20.19,49.3,0.0,1,38.65
2023-02-02,Steam Boiler,35.15,10.07,25.01,30.16,0.0,0,353.98
2023-02-03,Spinning Machine,19.04,11.71,29.78,33.1,113.24,0,223.06
2023-02-03,Weaving Machine,13.5,10.8,31.95,64.0,654.45,0,145.83
2023-02-03,Dyeing Machine,27.54,8.1,29.46,42.51,572.15,0,222.95
2023-02-03,Cutting Machine,7.36,11.32,29.22,30.84,809.03,0,83.24
2023-02-03,Sewing Machine,4.66,9.74,25.96,68.97,363.72,0,45.42
2023-02-03,HVAC System,39.32,11.74,34.46,69.75,0.0,0,461.61
2023-02-03,Air Compressor,14.61,7.2,23.36,34.31,0.0,0,105.18
2023-02-03,Lighting System,4.76,11.03,26.57,63.19,0.0,0,52.54
2023-02-03,Water Pump,9.23,7.54,34.06,42.06,0.0,0,69.61
2023-02-03,Steam Boiler,41.93,11.61,23.02,34.3,0.0,0,486.8
2023-02-04,Spinning Machine,21.73,3.64,23.71,54.79,180.51,0,79.11
2023-02-04,Weaving Machine,16.95,0.18,34.59,49.1,12.35,0,3.09
2023-02-04,Dyeing Machine,29.5,0.63,22.26,54.42,45.44,0,18.51
2023-02-04,Cutting Machine,13.1,3.95,30.59,42.68,238.69,0,51.67
